"","intron_motif","startID","endID","maxCount","quantileValueN","passedExpression","passed","maxDJaccard","passedVariability","b_jaccard","rho_jaccard","hgnc_symbol","annotatedJunction"
"139","GT-AG",87,762,1,2,FALSE,FALSE,0.75,TRUE,-0.608904487544684,0.986996099998958,"ITSN1","start"
"140","GT-AG",87,760,2,2,FALSE,FALSE,0.6,TRUE,0.369114960264847,0.988217896431928,"ITSN1","both"
"141","GT-AG",88,763,3,2.1,FALSE,FALSE,0,FALSE,0.822977775008189,0.977965084920338,"ITSN1","both"
"142","GT-AG",89,764,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.499999999997727,"ITSN1","both"
"143","GT-AG",90,765,1,2,FALSE,FALSE,0.375,TRUE,-0.784031298332016,0.0148356683692026,"LINC00649","end"
"144","GT-AG",91,766,1,3.55,FALSE,FALSE,0.2,TRUE,-1.29570192844171,0.00520206275275415,"LINC00649","start"
"145","GT-AG",91,767,2,4.1,FALSE,FALSE,0.52,TRUE,-0.103609193168677,0.00342496837398749,"LINC00649","start"
"146","GT-AG",91,765,2,4,FALSE,FALSE,0.6,TRUE,-0.14255566984485,0.00611047006379335,"LINC00649","both"
"147","GT-AG",92,767,1,2.55,FALSE,FALSE,0.291666666666667,TRUE,-0.608904487544685,0.00436450274857945,"LINC00649","none"
"148","GT-AG",93,768,2,2,FALSE,FALSE,0.5,TRUE,-8.88178419700125e-17,0.281703088334639,"LINC00649","both"
"149","GT-AG",94,768,1,2,FALSE,FALSE,0.4,TRUE,-1.08848354210436,0.0218846749107189,"LINC00649","end"
"150","GT-AG",95,768,1,2,FALSE,FALSE,0.75,TRUE,-0.848694014824521,0.0385408551587668,"LINC00649","end"
"151","GT-AG",95,769,1,1,FALSE,FALSE,0.666666666666667,TRUE,-0.239789527279837,0.500000122733007,"LINC00649","none"
"152","GT-AG",96,770,2,2.55,FALSE,FALSE,0.533333333333333,TRUE,-1.02382082561185,0.299900296326294,"LINC00649","none"
"153","GT-AG",97,770,2,2.55,FALSE,FALSE,0.722222222222222,TRUE,0.784031298332016,0.259534697778437,"LINC00649","none"
"154","GT-AG",97,771,1,2,FALSE,FALSE,0.857142857142857,TRUE,-1.3282730693842,0.981196297374427,"LINC00649","none"
"155","GT-AG",98,771,1,1,FALSE,FALSE,0.5,TRUE,1.73194791841524e-16,0.499999947750721,"LINC00649","none"
"156","GT-AG",99,768,1,2,FALSE,FALSE,0.4,TRUE,-1.08848354210436,0.0129986264308295,"LINC00649","end"
"157","GT-AG",100,772,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.500000046432499,"LINC00649","none"
"158","GT-AG",101,773,2,8.1,FALSE,FALSE,0.729805996472663,TRUE,-1.41506603339123,0.00456982393891627,"LINC00649","end"
"159","GT-AG",102,773,7,8.1,FALSE,FALSE,0.729805996472663,TRUE,1.41506603339123,0.00456981164782619,"LINC00649","both"
"160","GT-AG",103,774,1,177.05,FALSE,FALSE,0.00494505494505495,FALSE,-6.90776697478449,0.000197824282490383,"MRPS6;SLC5A3;AP000317.2","end"
"161","GT-AG",104,775,1,5.1,FALSE,FALSE,0.222222222222222,TRUE,-2.62238829258165,0.0110125833425672,"MRPS6;SLC5A3;AP000317.2","start"
"162","GT-AG",104,776,1,22.3,FALSE,FALSE,0.0652307692307692,TRUE,-4.33730848240182,0.000631361416322329,"MRPS6;SLC5A3;AP000317.2","none"
"163","GT-AG",104,777,4,18.85,FALSE,FALSE,0.111301198801199,TRUE,-2.74192657573679,0.00730741126667105,"MRPS6;SLC5A3;AP000317.2","none"
"164","GT-AG",104,774,3,177.6,FALSE,FALSE,0.012859840987501,FALSE,-4.9982978613619,6.09619322465532e-05,"MRPS6;SLC5A3;AP000317.2","end"
"165","GT-AG",105,774,1,177.05,FALSE,FALSE,0.00725806451612903,FALSE,-6.90750857106689,0.000537947044476197,"MRPS6;SLC5A3;AP000317.2","end"
"166","GT-AG",106,778,3,202.55,FALSE,FALSE,0.01573058908899,FALSE,-6.39265701591585,0.00223606391696091,"MRPS6;SLC5A3;AP000317.2","start"
"167","GT-AG",106,776,19,203,FALSE,FALSE,0.0461819540638994,FALSE,-2.6237515468555,0.00515812175774294,"MRPS6;SLC5A3;AP000317.2","start"
"168","GT-AG",106,779,3,202.55,FALSE,FALSE,0.0114553525585307,FALSE,-6.45755377921715,0.00409878843210434,"MRPS6;SLC5A3;AP000317.2","start"
"169","GT-AG",106,780,1,202.55,FALSE,FALSE,0.005625,FALSE,-7.04353011439199,0.000328778123783442,"MRPS6;SLC5A3;AP000317.2","start"
"170","GT-AG",106,777,13,207.65,FALSE,FALSE,0.0227335441772304,FALSE,-3.17149506788816,0.000141246920608399,"MRPS6;SLC5A3;AP000317.2","start"
"171","GT-AG",106,774,167,217.1,TRUE,TRUE,0.124514247929788,TRUE,1.15263271100001,0.0174190812197196,"MRPS6;SLC5A3;AP000317.2","both"
"172","GT-AG",106,781,1,202.55,FALSE,FALSE,0.00642857142857143,FALSE,-7.04408302315042,0.000384978670872519,"MRPS6;SLC5A3;AP000317.2","start"
"173","GT-AG",106,782,3,235.1,FALSE,FALSE,0.0108871181926264,FALSE,-5.50749822704374,6.84928282348045e-05,"MRPS6;SLC5A3;AP000317.2","start"
"174","GT-AG",106,783,1,202.55,FALSE,FALSE,0.00625,FALSE,-7.04346030121358,0.000461983830288084,"MRPS6;SLC5A3;AP000317.2;LINC00310","start"
"175","GT-AG",106,784,1,202.55,FALSE,FALSE,0.00483870967741936,FALSE,-7.04430945413947,0.000210021031732048,"MRPS6;SLC5A3;AP000317.2;LINC00310;AP000317.1","start"
"176","GT-AG",106,785,1,202.55,FALSE,FALSE,0.00443349753694581,FALSE,-7.04366309844021,0.000184042858143373,"MRPS6;SLC5A3;AP000317.2;LINC00310;AP000317.1","start"
"177","GT-AG",107,776,1,19.55,FALSE,FALSE,0.1125,TRUE,-4.36253494194615,0.0148104341349147,"MRPS6;SLC5A3;AP000317.2","none"
"178","GT-AG",108,777,6,20.3,FALSE,FALSE,0.332830704745666,TRUE,-2.36510559195112,0.0402743643282374,"MRPS6;SLC5A3;AP000317.2","none"
"179","GT-AG",108,774,4,178.15,FALSE,FALSE,0.0214957769775651,FALSE,-4.90554521084155,0.000492767340990343,"MRPS6;SLC5A3;AP000317.2","end"
"180","GT-AG",109,777,1,16.85,FALSE,FALSE,0.0692307692307692,TRUE,-4.22024923310292,0.00288943995163093,"MRPS6;SLC5A3;AP000317.2","none"
"181","AT-AA",110,786,1,0.549999999999999,FALSE,FALSE,0,FALSE,0.239789527279837,0.499999965255526,"MRPS6;SLC5A3;AP000317.2","none"
"182","GT-AG",111,787,17,18.2,FALSE,FALSE,0.129212454212454,TRUE,2.93485384610863,0.0186843521370536,"MRPS6;SLC5A3;AP000317.2","none"
"183","GT-AG",111,774,2,188.35,FALSE,FALSE,0.007312244613094,FALSE,-5.72609984533392,5.07545706801778e-05,"MRPS6;SLC5A3;AP000317.2","end"
"184","GT-AG",112,787,2,17.1,FALSE,FALSE,0.121794871794872,TRUE,-3.8614408142855,0.000713890574827674,"MRPS6;SLC5A3;AP000317.2","none"
"185","GT-AG",113,788,1,1,FALSE,FALSE,0,FALSE,0.479579054559674,0.499999991672702,"MRPS6;SLC5A3;AP000317.2","none"
"186","GT-AG",114,774,10,177.05,FALSE,FALSE,0.0476216203998518,FALSE,-3.1636041137363,0.00688875555962248,"MRPS6;SLC5A3;AP000317.2","end"
"187","GT-AG",114,781,1,10.1,FALSE,FALSE,0.0818181818181818,TRUE,-3.72672803470612,0.0029528889345878,"MRPS6;SLC5A3;AP000317.2","none"
"188","GT-AG",114,782,1,70.9,FALSE,FALSE,0.0214285714285714,FALSE,-5.83065196496467,0.00216150054763816,"MRPS6;SLC5A3;AP000317.2","none"
