"","x"
"286",0.00758011281694202
"287",0.00758011292816034
"288",0.00145295704346904
"289",0.982845324236232
"290",0.982845321378284
"291",0.00224114732546848
"292",0.00224115164173505
"293",0.0021501101848299
"294",0.0111190699283785
"295",0.000699569010036689
"296",0.0016451631193402
"297",0.00123216231986068
"298",0.00123215997507224
"299",0.00203202136336248
"300",0.00119170119108226
"301",0.000410762475633182
"302",0.00725184087245386
"303",0.000259001358992836
"304",0.0293577524336944
"305",0.499999991666228
"306",0.951748380591938
"307",0.499999943136996
"308",0.00639806134939948
"309",0.00204226861582624
"310",6.67948584347681e-05
"311",0.000210290244610777
"312",0.00417199602496182
"313",0.000186337589737994
"314",0.000714635191269009
"315",0.000426898259562264
"316",5.28491137016736e-05
"317",0.000254851052038357
"318",0.000963729611227625
"319",0.000262214682190791
"320",0.00102430469702947
"321",0.000102043876230548
"322",0.00955529088800885
"323",0.0107171039952056
"324",0.000281155112457422
"325",0.0036056080127386
"326",0.000534016255721928
"327",0.000350541752716054
"328",0.00043967314515289
"329",0.000401081949492707
"330",0.00249325059907051
"331",0.0283698624953108
"332",0.000787821451881323
"333",3.14740564040013e-05
"334",0.000493463100566313
"335",5.1519492123033e-05
"336",0.000174370952829576
"337",0.0063448783963099
"338",5.066434840167e-05
"339",0.0121334094343702
"340",0.000182287199132877
"341",0.000226091395807347
"342",0.0148132017625477
"343",0.000129415974025409
"344",0.000254742502474832
"345",0.00189978879030392
"346",0.0115149828522729
"347",0.00111196502378809
"348",0.000301465528187031
"349",0.00023795503969514
"350",8.81365042004066e-05
"351",0.000401166343467345
"352",0.00952440750644462
"353",0.000109124203276737
"354",0.0026440410050559
"355",0.00195947614549132
"356",7.39643586379403e-05
"357",0.00289208020442575
"358",0.000142114170044595
"359",4.46299959156296e-05
"360",0.000166615324656305
"361",2.11790159859299e-05
"362",0.000140646657656236
"363",0.000522859456807906
"364",3.61603052026157e-05
"365",0.0166977630418944
"366",0.0024737414519962
"367",0.00010047274741053
"368",0.0141132056860826
"369",0.000281079323208773
"370",0.000212046551712863
"371",0.000139695373952142
"372",0.206568581747658
"373",0.206568567435014
"374",0.500000046432499
"375",0.500000008335434
"376",0.0257829768515313
"377",0.00333834928963936
"378",0.162730714024953
"379",0.961079409637785
"380",0.984044306146435
"381",0.959771847241284
"382",0.499999965255526
"383",0.499999965255526
"384",0.500000040097874
"385",0.971678352369764
"386",0.00933024608463391
"387",0.00808468096023382
"388",0.00933025000626233
"389",0.978072960903563
"390",0.00933022768034875
"391",0.00933024041479818
"392",0.951023603262442
"393",0.499999984731113
"394",0.936623141299451
"395",0.936623034601842
"396",0.946240805247355
"397",0.499999965255526
"398",0.972357804988242
"399",0.500000067866047
"400",0.499999991672702
"401",0.970121244442233
"402",0.967198549819648
"403",0.980925279573774
"404",0.944009755438513
"405",0.985561617678007
"406",0.9601705942441
"407",0.93581720851516
"408",0.947692019237914
"409",0.499999991664708
"410",0.940512786270466
"411",0.96586852845828
"412",0.978697430709877
"413",0.500000000001082
"414",0.500000008316998
"415",0.500000008335826
"416",0.949069035393096
"417",0.500000000005448
"418",0.500000119394912
"419",0.499999904588795
"420",0.971512506359974
"421",0.980125769427239
"422",0.973526852456743
"423",0.976459981728158
"424",0.972108071402762
"425",0.500000035503737
"426",0.500000040097874
"427",0.973731358523191
"428",0.973731393677795
"429",0.97709677347156
"430",0.980867382344613
"431",0.95187377030723
"432",0.975372327664488
"433",0.979802537766202
"434",0.971678352369764
"435",0.985804452636759
"436",0.393472493431714
"437",0.00287553256258864
"438",0.49999991007907
"439",0.98239683902932
"440",0.956220925808968
"441",0.0118651693409569
"442",0.00653782508149373
"443",0.948452135348154
"444",0.949735083374291
"445",0.976627781939756
"446",0.00256692248350777
"447",0.00352619749884651
"448",0.49999991007907
"449",0.00902174342512256
"450",0.985480028307905
"451",0.991557599447751
"452",0.988421342415469
"453",0.988793628092504
"454",0.986538150652799
"455",0.00275207189649372
"456",0.00627921634378535
"457",0.0420315966248722
"458",0.00265201633195284
"459",0.00310351109493697
"460",0.0022017382662434
"461",0.00370518522708775
"462",0.0575629455406963
"463",0.108991847299261
"464",0.0032641247866301
