HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
0	0	0	0	1	2	1	0	0	0
0	1	0	0	1	1	0	0	0	0
112	161	116	115	88	122	172	73	120	138
111	154	115	115	88	121	172	70	120	137
66	71	66	76	73	50	125	67	69	76
66	71	66	76	73	50	125	67	69	76
66	71	66	76	73	50	125	67	69	76
80	85	85	90	93	65	158	71	80	90
138	158	167	156	174	120	247	136	170	180
70	76	79	76	78	57	141	62	72	78
70	76	79	76	78	57	141	62	72	78
72	87	101	81	101	70	122	69	101	104
78	89	105	90	105	70	126	69	105	108
78	89	105	90	106	70	126	69	105	108
80	93	107	92	106	73	129	74	106	108
0	0	0	1	1	0	0	1	0	0
72	87	101	81	102	70	122	69	101	104
72	87	101	81	101	70	122	69	101	104
83	43	39	21	8	55	23	32	55	36
83	43	39	21	8	55	23	32	55	36
83	43	39	21	8	55	23	32	55	36
83	43	39	21	8	55	23	32	55	36
96	66	52	30	24	65	27	43	67	58
74	60	48	25	20	54	16	34	61	52
1	2	1	1	0	1	1	0	0	2
1	2	1	1	0	1	1	0	0	2
1	2	1	1	0	1	1	0	0	2
2	3	0	2	3	3	0	1	0	2
1	1	1	2	0	2	0	1	2	1
3	1	1	2	1	2	0	1	2	1
1	1	1	2	0	2	0	1	2	1
3	1	1	1	1	1	0	1	0	0
0	1	0	0	0	0	0	0	0	0
3	1	1	1	1	1	0	1	0	0
149	87	128	209	96	193	84	108	140	128
181	120	203	270	155	180	151	107	194	191
181	120	203	270	155	180	151	107	194	191
181	124	204	273	158	181	152	107	195	193
144	110	144	243	123	158	113	118	138	170
268	186	284	430	226	285	202	206	260	298
297	210	257	425	214	324	199	195	249	311
149	106	158	211	118	154	109	108	138	150
159	107	117	190	92	170	86	79	113	145
272	145	213	333	144	334	175	172	198	256
129	82	98	145	85	139	80	74	91	125
0	0	0	1	0	0	0	0	0	0
108	73	126	156	109	177	78	79	81	158
134	61	130	158	100	155	93	117	98	154
122	91	149	156	106	158	91	113	101	149
113	60	129	141	133	155	101	106	87	126
132	68	144	168	147	182	110	116	99	142
218	99	218	276	177	308	180	190	160	226
110	53	113	136	113	157	92	96	77	115
135	48	115	174	68	190	98	104	94	128
112	41	97	143	59	160	85	88	81	104
126	47	108	156	68	176	99	98	95	118
115	43	98	147	54	166	89	94	85	111
137	94	130	202	167	267	143	132	132	213
112	49	100	150	103	112	85	106	74	107
76	47	81	131	92	91	72	80	53	57
75	39	97	107	104	125	65	76	79	102
157	55	156	140	147	201	86	143	119	156
87	22	61	38	47	77	24	73	42	58
0	0	0	0	0	0	1	0	0	0
0	0	3	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
22	14	20	23	28	24	21	32	22	17
22	14	20	23	28	25	21	35	23	18
36	31	22	41	34	42	67	50	31	24
35	28	21	40	34	42	67	49	31	24
53	50	42	75	74	86	125	79	57	51
19	25	21	38	41	47	59	31	33	27
55	37	45	81	76	87	115	84	59	54
37	15	26	46	37	45	60	54	32	27
26	12	16	34	32	30	56	34	22	20
56	30	36	69	68	62	134	65	49	42
35	20	25	37	43	39	85	35	30	24
31	18	21	36	40	35	79	32	27	22
40	12	27	28	49	34	81	59	29	24
30	11	25	25	42	27	67	50	28	22
30	11	25	25	42	27	67	50	28	22
25	17	24	29	56	44	59	37	28	25
17	10	17	32	38	24	56	47	22	25
18	10	15	23	42	34	38	49	26	25
16	10	14	21	17	36	23	41	11	14
9	4	13	14	16	30	33	32	22	6
22	7	18	23	39	24	49	22	22	17
19	7	18	23	38	23	44	20	20	16
28	11	29	24	43	52	57	47	33	24
36	11	33	32	37	67	63	38	26	36
35	9	33	32	37	67	61	37	26	36
23	7	15	21	43	40	37	53	32	15
25	7	16	23	47	42	42	57	34	17
16	6	14	10	25	30	27	36	12	7
10	1	9	8	12	25	4	25	11	10
15	6	11	12	18	29	8	30	7	9
