HG00096	HG00103	HG00106	HG00111	HG00116	HG00126	HG00132	HG00149	HG00150	HG00176
0	0	0	0	0	1	0	2	0	1
0	0	0	0	1	0	0	0	0	1
0	2	0	1	2	4	1	3	0	4
0	2	0	0	2	4	0	3	0	1
0	2	0	1	1	2	0	0	0	1
0	0	1	2	3	2	0	3	0	4
0	0	0	1	1	0	0	0	0	0
0	1	2	1	3	7	0	3	0	1
0	2	1	0	2	2	0	2	0	4
0	0	0	0	0	0	0	1	0	1
1	1	0	2	3	2	0	1	0	2
2	0	0	0	0	2	0	3	0	1
0	0	0	0	2	0	0	3	0	1
0	0	1	0	1	0	0	1	0	1
0	0	1	0	0	1	0	1	0	1
0	0	1	0	0	1	0	1	1	1
0	0	1	0	0	0	0	0	1	1
0	0	1	0	0	0	0	1	1	1
0	0	1	0	0	2	1	1	0	0
0	0	0	0	0	1	1	1	1	1
0	0	0	0	0	1	1	0	1	1
0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	0	0	0	1	2
0	0	0	0	0	1	0	0	2	0
0	0	1	0	0	4	0	0	1	0
0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	4	0	0	1	0
0	0	2	0	0	0	0	0	0	0
0	0	2	0	1	1	0	0	1	0
1	1	3	0	1	1	0	1	0	0
0	0	0	0	1	1	0	1	1	0
1	2	1	0	0	0	0	1	0	0
0	0	1	0	0	0	0	1	0	0
1	0	2	0	0	1	0	0	0	0
0	1	1	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	0	1
1	0	0	0	1	0	0	0	0	0
1	0	0	0	2	1	0	0	0	0
1	0	0	0	1	1	0	0	0	0
1	0	0	0	1	1	0	0	0	0
0	0	0	0	1	1	0	2	0	1
0	0	0	0	0	2	0	1	1	3
1	1	1	2	0	0	1	6	1	1
1	0	5	2	2	3	0	3	0	0
3	0	2	2	2	1	0	2	0	0
1	0	1	0	0	0	0	0	0	0
0	1	0	1	1	0	0	0	1	2
0	1	0	0	0	0	2	0	1	0
0	0	1	1	0	0	0	1	0	0
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	0	1	0	0
0	0	0	0	1	1	3	0	0	0
0	0	1	2	0	0	1	0	0	0
2	0	1	1	1	0	0	0	1	2
1	0	0	0	0	0	1	0	0	0
1	0	0	1	0	0	2	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	1	1	1	0	0
2	0	4	0	3	0	0	0	1	2
1	0	1	0	0	0	3	0	0	0
1	0	0	0	1	1	0	0	0	0
1	0	0	0	0	0	0	0	0	0
9	2	10	9	3	32	7	7	4	7
3	1	4	2	1	7	1	0	0	3
0	1	1	0	3	1	3	2	0	0
43	49	56	62	93	86	77	59	93	45
0	0	0	0	1	1	0	0	0	0
14	17	18	15	8	53	12	6	5	18
1	1	1	2	0	3	2	0	2	0
62	56	74	68	80	144	93	78	72	59
0	0	0	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0	0	0
48	51	71	68	60	91	98	67	64	52
0	0	0	0	1	0	1	0	0	0
68	73	108	124	125	131	148	119	102	62
0	0	1	0	0	0	0	0	1	0
0	0	0	0	0	0	1	0	0	0
87	87	123	135	158	133	145	130	103	95
2	2	2	5	2	1	3	0	2	0
0	0	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0
39	27	44	54	46	54	44	40	22	38
0	0	1	1	0	0	2	0	0	0
0	0	0	0	0	0	2	1	2	0
1	1	0	4	2	4	2	1	2	0
1	1	1	3	2	3	8	3	2	1
0	0	0	0	1	0	0	0	1	0
40	47	47	40	41	70	44	31	33	44
0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0
22	22	28	25	24	50	15	29	15	22
1	0	0	0	0	0	0	0	1	0
22	24	17	27	23	27	12	32	26	19
0	1	1	0	0	0	0	0	0	0
27	19	28	31	30	44	26	23	19	20
3	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	1	0	0	0
2	1	2	0	0	0	0	0	0	0
3	0	0	2	0	0	1	0	0	0
13	5	8	12	18	4	5	7	2	14
3	3	1	0	2	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0
4	1	2	2	0	0	3	0	0	0
20	14	18	11	24	13	9	11	8	26
1	2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0
0	2	0	0	0	0	0	0	1	0
0	1	1	0	0	0	0	0	0	0
0	0	1	0	1	1	0	0	0	0
26	10	16	9	28	14	12	12	7	12
0	0	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	1	0
18	5	16	14	12	3	11	9	9	1
0	0	0	0	1	1	0	0	0	0
1	0	0	0	0	0	2	0	0	0
1	0	0	0	0	0	0	0	0	0
2	1	2	0	0	0	2	0	2	1
0	0	1	0	0	0	0	0	0	0
36	7	17	20	35	15	23	6	9	4
0	0	1	0	0	0	0	0	0	0
0	1	0	1	0	1	3	1	1	0
0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0
27	16	22	25	50	44	60	48	24	54
0	0	1	0	0	2	1	0	1	0
0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0	0	0
33	22	17	17	55	50	65	45	13	62
0	1	1	0	0	0	0	0	0	0
36	15	29	12	38	34	59	27	26	56
0	0	0	2	0	0	0	0	0	0
35	11	19	20	36	24	50	38	22	30
0	0	0	0	0	2	0	0	0	0
0	0	0	0	1	0	1	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	2	0	0	0	0
0	1	0	0	1	1	0	0	0	0
95	121	95	101	74	106	155	59	107	120
0	0	0	0	2	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0
2	0	2	0	0	0	1	0	0	0
4	2	0	5	9	5	8	0	6	6
56	62	60	62	58	42	108	58	61	64
0	0	0	1	0	0	0	0	0	0
2	0	0	2	0	0	0	0	0	0
2	2	8	5	9	8	10	0	0	3
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0	0
0	0	0	1	0	0	0	0	0	0
70	83	99	79	100	67	119	64	100	104
0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0
0	0	0	1	0	1	0	0	0	0
1	1	1	0	1	0	3	0	1	2
0	0	0	0	0	0	0	0	1	0
0	0	2	0	0	1	1	0	0	0
0	0	0	0	0	0	0	0	0	1
61	37	35	16	4	44	12	23	49	30
3	1	1	0	0	2	0	0	1	0
1	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0
0	1	1	1	0	1	0	0	0	2
2	3	0	2	3	3	0	1	0	2
0	0	0	0	0	1	0	0	2	0
1	1	1	1	0	1	0	1	0	0
0	0	0	1	0	0	0	0	0	1
0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
130	70	115	180	91	170	70	99	120	116
0	0	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0
177	114	196	255	151	178	142	107	186	184
112	74	114	202	105	114	87	93	116	140
23	27	16	24	15	25	19	17	12	21
0	0	0	1	0	0	0	0	0	0
113	71	136	175	98	125	82	89	118	127
152	97	111	179	89	166	86	77	112	142
0	1	0	0	0	0	0	0	0	0
118	65	89	123	77	125	75	66	84	106
0	0	0	1	0	0	0	0	0	0
104	65	108	142	102	160	71	72	73	150
126	58	121	150	99	141	90	111	94	151
101	76	125	144	94	139	82	102	81	129
11	10	24	20	16	13	8	10	11	14
89	44	96	108	98	129	83	82	63	98
9	3	7	12	9	13	10	6	11	10
19	5	17	26	14	23	9	10	9	17
0	0	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0
101	37	87	134	45	150	75	84	71	97
0	1	0	0	0	0	0	0	0	0
130	89	125	193	154	253	133	124	125	204
102	47	95	134	97	105	80	102	69	103
69	38	73	119	82	87	62	75	50	51
72	34	93	102	101	122	60	72	77	99
0	0	0	0	0	0	1	0	0	0
82	20	59	34	42	71	22	70	36	56
0	0	0	0	0	0	1	0	0	0
0	0	3	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0
22	14	20	23	28	23	21	31	19	15
34	26	21	40	33	42	67	47	29	23
0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1	1	0
18	20	19	34	40	42	57	30	24	27
0	0	0	0	0	0	0	0	2	0
34	13	25	41	35	36	57	51	27	24
24	11	15	33	27	24	54	32	22	20
0	0	0	0	2	0	0	0	0	0
25	14	20	35	30	29	78	27	27	22
1	0	0	0	0	0	0	0	0	0
30	10	23	23	38	25	62	44	25	19
0	1	2	0	1	0	4	0	1	0
0	0	0	0	0	1	0	5	0	0
24	17	23	26	55	40	53	37	25	23
15	8	15	30	37	23	54	43	22	23
13	10	15	22	37	32	35	45	25	23
15	9	14	19	16	31	21	39	11	14
9	3	12	14	16	28	32	29	21	5
16	7	18	20	38	21	43	20	19	15
1	0	0	0	0	0	1	0	1	0
26	10	29	24	42	52	54	44	33	23
34	9	31	32	37	61	61	35	26	36
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	2	2	0	0
22	7	15	20	38	40	33	51	32	15
16	5	13	10	22	29	27	35	11	7
10	0	9	8	10	23	4	25	11	10
0	0	0	0	0	2	0	0	0	0
